NAME	DESCRIPTION	healthy_cd3_46	healthy_cd3_46_1	arg1_def_cd3_46	arg1_def_cd3_46_1
ERCC-00137	1	5.92397196604359	5.47842209060928	5.04662228598013	4.95802803139411
ERCC-00126	1	7.65687083795282	6.4041502400165	6.43397411890851	6.81967095642176
LOC23117	1	6.3325858613322	5.50691723300167	5.50275394206383	5.44653491075312
TRIM44	1	6.67469549946894	6.39597465886216	6.14617030854928	6.72568763533376
LOC400129	1	5.74087737095833	5.62913622815959	5.26031961914092	5.4916163379259
LOC653895	1	6.525296555227	5.93000983445387	6.08006643543988	5.23463130120119
C15orf39	1	4.77942807388537	5.4028905560705	4.91473547289301	5.24050602413602
STAMBPL1	1	7.68023861805337	8.84692155194584	9.19939003771375	9.0521465902849
LOC728492	1	5.94039194713634	6.51054557937647	6.79442155434221	6.58749900831393
SCYL1BP1	1	5.82367552377343	5.22032478580705	4.98861278578055	5.37084308849515
SCYL1BP1	1	5.43165415391826	7.03076387153343	6.39086714416898	7.14124195043578
TCP1	1	6.47744333069756	6.28956765273681	6.53277693169943	6.22024891229851
PEX5	1	4.98777613907159	5.30348927969251	5.89019945963749	5.10599784709648
FLJ20718	1	4.98902317656911	4.9973011286308	5.17420495761871	4.88159486876878
NSMCE2	1	4.67851175403309	5.71860604275397	5.72995230450111	6.12867136707218
TUBGCP2	1	4.78937405030702	5.0053618594224	5.33138300173368	4.93522370786798
BIN1	1	5.68231460105481	5.88611312638341	5.94563747453739	5.41351237158675
BTBD10	1	5.26440999702903	6.36984094438457	6.25786441598336	6.11772819201174
DCTN3	1	5.51353955052613	5.44426212463607	5.56114540945652	5.62278379842579
ARHGDIA	1	7.10677610759132	7.32648781345225	7.06828010816154	7.10976685731083
NEK1	1	5.54781513131524	5.96256697336212	6.27897870393523	6.01675549019723
LOC728992	1	5.59137465488926	5.36690404393086	5.14801540206733	5.61651487311363
LONP1	1	5.13845642917116	5.53981535410148	5.79989889222546	4.99555231551857
SLU7	1	6.39933285546188	7.25690612660982	7.33768251040746	7.08167459781598
TIMM9	1	5.55713188467603	6.37846045303633	6.36984094438457	5.94721380938826
NOMO1	1	4.75777158569715	6.38908874149558	6.32343914787413	6.4537180125626
NOMO1	1	5.03502434971206	6.16643922884499	6.57909409578372	6.52044514729011
NOMO1	1	6.86597522820512	6.49556474083415	6.72940982755902	6.81896386991109
PJA2	1	8.54885236657693	8.78855327148077	8.55181563253006	9.15487155241418
LOC100128096	1	13.1854604616826	13.1405025167227	13.0971579890007	13.0749238832725
PLGLA1	1	6.27870673406602	5.36210136848918	5.32483327162076	5.42916512488803
ARID3A	1	4.91616965520108	4.74316548512984	5.13786724181275	5.22404780298642
RPL27A	1	9.95979940274966	9.89947197382187	10.4904469639014	9.87762046067925
PPIAL4A	1	8.64142739299368	10.1956742604289	10.337518333614	9.70836379708456
LOC400948	1	7.39018348397876	7.13176214490837	7.71668262590795	7.38530634041588
LOC653352	1	5.32066496317375	4.95688044036279	5.44367989635366	4.90396242863795
LOC100130000	1	4.7679610031553	5.04639979254696	4.82928112060409	5.23446784691259
RNF6	1	5.06044757817148	5.4178193269807	5.07710060816191	5.17276383340365
LSM11	1	4.71832010802714	5.06560510162234	5.22018442025818	5.30100239415645
TRMT6	1	6.11720511977306	6.2884612430603	6.01400067910559	5.43458752946482
LOC283922	1	6.37614101718112	5.50990406995429	5.98804484328085	6.08134686847359
DNAJC7	1	6.64435728831716	6.79339694581722	6.35358129513924	6.30774231390559
LOC647456	1	6.07163013291975	6.2193776866525	6.19383037037518	5.38817335834569
TRIM41	1	5.74387250398464	5.46174203358467	5.76498287183476	5.37285852495882
CUGBP2	1	4.73610445986095	5.29019160446509	6.21810632441475	5.99113305654096
LOC644623	1	5.53033731571512	5.26647513747515	5.62412232921021	5.09511180518562
SNORD92	1	5.5861268673923	5.77340319778911	6.26850552467747	6.18246861559019
LOC654103	1	6.69940668776113	5.3256397427566	5.4098060452433	4.98370164573323
FBLN5	1	5.09338009898188	5.16728244083658	4.70794975294801	5.25114992776229
FBLN5	1	5.12253656050138	5.27341204242213	5.2917587419443	5.55347070751616
UBN1	1	7.43603290707449	8.53821979312651	8.39941719947609	8.13503534357434
UBN1	1	7.04503242035266	7.08237445451979	5.95390390618196	6.72322194012978
DNAJC2	1	6.35743348838025	7.0964947872301	7.17562459152455	6.80939969324626
MYEF2	1	6.35244473452881	6.32380449929594	6.29243160105237	5.3823471777486
LOC643438	1	8.24542273287386	7.87127345843585	8.15310077165567	8.00319476368055
TIMM50	1	6.04081783476223	5.62342054269706	5.84592820058116	6.20134943395737
ENTPD4	1	5.0317390244868	5.23533838954057	5.44727001439911	5.94062316836062
SPSB3	1	5.09391193167436	6.65343959033627	6.73574273823862	6.18721134643496
PROX1	1	4.97593834856674	4.85829886624986	5.60216133937921	5.77780090723515
C10orf35	1	5.11010009449767	5.36848286822846	5.00594401290711	5.77175492114473
LOC653472	1	7.08167459781598	6.77844944198933	6.20565727032227	6.15216508939839
GIT2	1	7.54796449386899	8.43927667658441	8.0435518877522	7.9918648853667
GIT2	1	7.32349195862434	7.73497175639069	7.78887477589176	7.80815344800908
BMS1P5	1	13.1783062357067	13.3777293388253	13.4293000635842	13.543850627322
WDR61	1	5.01888250903368	5.49381045003242	5.85701394561995	5.62913622815959
ERI1	1	4.94070125971711	5.18005445019878	5.0918873943711	5.17724912364596
RNU2-1	1	6.24103282214135	6.4984169699234	6.61054078785338	6.92219678914251
CXCR3	1	7.12377057823001	5.97917684805773	6.3572727927167	6.39723909492594
